I'm 19.	Tengo diecinueve.
I'm up.	Estoy levantado.
I'm Tom.	Soy Tom.
I'm fat.	Estoy gordo.
I'm fat.	Soy gorda.
I'm fit.	Estoy en forma.
I'm hit!	Estoy afectado.
I'm old.	Soy viejo.
I'm shy.	Soy tímido.
I'm wet.	Estoy mojada.
I am fat.	Soy gorda.
I am old.	Estoy viejo.
I'm back.	He vuelto.
I'm back.	Estoy de vuelta.
I'm bald.	Soy calvo.
I'm bald.	Estoy calvo.
I'm calm.	Estoy calmado.
I'm cool.	Estoy tranquilo.
I'm done.	He terminado.
I'm easy.	Soy bastante facilón.
I'm fair.	Soy justo.
I'm fine.	Estoy perfectamente.
I'm free!	¡Soy libre!
I'm free.	Yo soy libre.
I'm full.	Estoy lleno.
I'm full.	Estoy llena.
I'm full.	Ya me llené.
I'm here.	Estoy aquí.
I'm home.	Estoy en casa.
I'm hurt.	Estoy herido.
I'm late.	Llego tarde.
I'm lazy.	Soy vago.
I'm lost.	Estoy perdida.
I'm mean.	Soy malo.
I'm next.	Me toca a mí.
I'm okay.	Estoy perfectamente.
I'm poor.	Soy pobre.
I'm rich.	Soy rica.
I'm rich.	Soy rico.
I'm safe.	Estoy a salvo.
I'm sick.	Estoy enferma.
I'm thin.	Soy delgado.
I'm tidy.	Estoy limpio.
I'm warm.	Estoy calentito.
I'm weak.	Estoy débil.
I'm wise.	Soy listo.
We're OK.	Estamos bien.
He is old.	Él es viejo.
He is old.	Él es anciano.
He's a DJ.	Él es DJ.
He's fast.	Él es veloz.
He's good.	Él es bueno.
He's rich.	Él es rico.
He's rich.	Es rico.
I am busy.	Estoy ocupada.
I am full.	Estoy lleno.
I am full.	Estoy llena.
I am good.	Soy bueno.
I am here.	Estoy aquí.
I am sick.	Estoy enferma.
I am weak.	Estoy débil.
I'm a man.	Soy un hombre.
I'm a pro.	Soy un pro.
I'm alone.	Estoy solo.
I'm alone.	Estoy sola.
I'm alone.	Yo estoy solo.
I'm alone.	Yo estoy sola.
I'm angry.	Estoy enojado.
I'm angry.	Estoy enojada.
I'm awake.	Estoy despierto.
I'm blind.	Soy ciega.
I'm broke.	Estoy sin dinero.
I'm broke.	Estoy quebrado.
I'm broke.	Estoy sin blanca.
I'm broke.	No tengo blanca.
I'm crazy.	Estoy loco.
I'm drunk.	Estoy borracho.
I'm drunk.	Estoy tomada.
I'm drunk.	Estoy prendida.
I'm dying.	Me estoy muriendo.
I'm first.	Soy el primero.
I'm first.	Voy el primero.
I'm first.	Me toca primero.
I'm first.	Yo voy primero.
I'm happy.	Soy feliz.
I'm happy.	Estoy feliz.
I'm loved.	Soy amado.
I'm loved.	Soy amada.
I'm obese.	Soy obeso.
I'm ready.	Estoy listo.
I'm sorry.	Lo siento.
I'm tired.	Yo estoy cansado.
I'm tired.	Yo estoy cansada.
I'm yours.	Soy tuyo.
I'm yours.	Soy tuya.
I'm yours.	Soy suyo.
She's hot.	Ella es candente.
She's hot.	Está como un tren.
She's hot.	Está de toma pan y moja.
She's hot.	Está buena.
She's hot.	Está que cruje.
You're OK.	Tú estás perfectamente.
You're OK.	Estás perfectamente.
He is a DJ.	Él es DJ.
He is here!	¡Él está aquí!
He is kind.	Él es gentil.
He is kind.	Él es amable.
He is kind.	Él es generoso.
He is mean.	Él es mezquino.
He is tall.	Él es alto.
He's broke.	Está sin blanca.
He's broke.	Está arruinado.
He's cruel.	Él es cruel.
He's lying.	Él miente.
He's lying.	Él está mintiendo.
He's smart.	Es inteligente.
He's smart.	Él es inteligente.
I am a man.	Soy un hombre.
I am a man.	Soy una persona.
I am bored.	Estoy aburrida.
I am happy.	¡Soy feliz!
I am happy.	¡Estoy feliz!
I am happy.	Yo estoy contento.
I am human.	Yo soy humano.
I am ready.	Estoy listo.
I am tired.	Estoy fisurado.
I'm French.	Soy francés.
I'm a hero.	Soy un héroe.
I'm a liar.	Soy un mentiroso.
I'm a twin.	Soy gemelo.
I'm better.	Yo soy mejor.
I'm bushed.	Estoy agotado.
I'm buying.	Estoy comprando.
I'm clumsy.	Soy torpe.
I'm coming.	Ahí voy.
I'm eating.	Estoy comiendo.
I'm faster.	Yo soy más rápido.
I'm greedy.	Soy codicioso.
I'm hiding.	Yo estoy escondido.
I'm hungry!	Ya tengo hambre.
I'm hungry!	Me pica el bagre.
I'm hungry.	Me pica el bagre.
I'm immune.	Soy inmune.
I'm moving.	Me estoy moviendo.
I'm moving.	Me mudaré.
I'm normal.	Soy normal.
I'm scared.	Estoy asustado.
I'm single.	Estoy soltero.
I'm single.	Estoy soltera.
I'm single.	Soy soltero.
I'm skinny.	Estoy flacucho.
I'm sleepy!	¡Tengo sueño!
I'm sleepy!	Tengo sueño.
I'm sleepy.	Tengo sueño.
I'm so fat.	Estoy tan gordo.
I'm so fat.	Estoy tan gorda.
I'm trying.	Lo estoy intentando.
I'm trying.	Me estoy esforzando.
I'm twelve.	Tengo doce años.
I'm twelve.	Tengo doce.
She is old.	Es vieja.
She's busy.	Ella está ocupada.
She's nice.	Es guapa.
They're in.	Ellos están dentro.
They're in.	Ellas están dentro.
They're in.	Ellos se apuntan.
We are men.	Somos hombres.
We're back.	Hemos vuelto.
We're back.	Estamos de vuelta.
We're back.	Hemos regresado.
We're busy.	Estamos ocupados.
We're cold.	Tenemos frío.
We're done.	Terminamos.
We're even.	Estamos a mano.
We're fine.	Estamos bien.
We're here.	Estamos acá.
We're home.	Estamos en casa.
We're lost.	Estamos perdidos.
We're poor.	Somos pobres.
We're rich.	Somos ricos.
We're rich.	Somos ricas.
We're sick.	Estamos hartos.
We're weak.	Somos débiles.
You're bad.	Eres mala.
You're big.	Eres grande.
You're big.	Estás grande.
You're old.	Estás vieja.
You're sad.	Estás triste.
He is alone.	Él está solo.
He is drunk.	Él está borracho.
He is eight.	Él tiene ocho años.
He is happy.	Es feliz.
He is happy.	Él está feliz.
He is hated.	Él es odiado.
He is lying.	Él miente.
He is lying.	Él está mintiendo.
He is nasty.	Él es un guarro.
He is nasty.	Él es asqueroso.
He is nasty.	Él da grima.
He is tired.	Él está cansado.
He is young.	Él es joven.
He's a jerk.	Él es pajero.
He's a liar.	Él es un mentiroso.
He's faking.	Está fingiendo.
He's not in.	No está aquí.
He's not in.	No está en casa.
He's not in.	Él no está en casa.
He's not in.	Él no está adentro.
He's skinny.	Él está delgado.
He's strong.	Él es fuerte.
He's stupid.	Él es estúpido.
He's stupid.	No le llega agua al tanque.
He's stupid.	Es un salame.
I am French.	Soy francés.
I am a cook.	Soy cocinero.
I am a monk.	Soy un monje.
I am better.	Estoy mejor.
I am better.	Soy mejor.
I am better.	Me encuentro mejor.
I am dozing.	Me estoy quedando dormido.
I am hungry.	Ya tengo hambre.
I am hungry.	Me pica el bagre.
I am joking.	Estoy jodiendo.
I am joking.	Estoy leseando.
I am single.	Estoy soltero.
I am single.	Estoy soltera.
I am single.	Soy soltero.
I am taller.	Yo soy más alto.
I'm 17, too.	Yo también tengo 17 años.
I'm a baker.	Soy panadero.
I'm a loser.	Soy un perdedor.
I'm a loser.	Soy una perdedora.
I'm a woman.	Soy una mujer.
I'm a woman.	Soy mujer.
I'm at home.	Estoy en casa.
I'm at home.	Ya estoy en casa.
I'm at home.	Estoy en la casa.
I'm baffled.	Estoy desconcertado.
I'm cooking.	Estoy cocinando.
I'm curious.	Tengo curiosidad.
I'm dancing.	Estoy bailando.
I'm engaged.	Estoy comprometida.
I'm excited.	Estoy emocionado.
I'm excited.	Estoy emocionada.
I'm fasting.	Estoy ayunando.
I'm finicky.	Soy quisquilloso.
I'm healthy.	Estoy saludable.
I'm in jail.	Estoy en la cárcel.
I'm in love.	Estoy enamorada.
I'm jittery.	Estoy nervioso.
I'm jittery.	Estoy inquieto.
I'm kidding.	Estoy jodiendo.
I'm leaving.	Me voy.
I'm married.	Estoy casado.
I'm married.	Estoy casada.
I'm married.	Soy casado.
I'm married.	Soy casada.
I'm nervous.	Estoy nervioso.
I'm neutral.	Soy neutral.
I'm no liar.	No soy ningún mentiroso.
I'm not Tom.	No soy Tom.
I'm not fat.	No soy gorda.
I'm not fat.	¡No estoy gorda!
I'm not old.	No estoy viejo.
I'm not sad.	No estoy triste.
I'm not shy.	Yo no soy tímido.
I'm patient.	Soy paciente.
I'm psyched.	Estoy mentalizado.
I'm reading.	Estoy leyendo.
I'm resting.	Estoy descansando.
I'm selfish.	Soy egoísta.
I'm serious.	Lo digo en serio.
I'm serious.	Hablo en serio.
I'm sloshed.	Estoy borracho.
I'm so full.	Estoy tan lleno.
I'm starved.	¡Me muero de hambre!
I'm starved.	Estoy muerto de hambre.
I'm through.	He terminado.
I'm too fat.	Yo soy demasiado gordo.
I'm trapped.	Estoy atrapado.
I'm unlucky.	Tengo mala suerte.
I'm waiting.	Estoy esperando.
I'm working.	Estoy trabajando.
I'm worried.	Estoy preocupada.
She is dead.	Ella está muerta.
She is kind.	Ella es amable.
She is kind.	Ella es gentil.
She's a fox.	Ella es una zorra.
She's crazy.	Ella está loca.
They're bad.	Son malos.
They're bad.	Están malos.
They're new.	Son nuevos.
They're new.	Están nuevas.
They're old.	Son viejos.
They're old.	Son mayores.
They're old.	Son ancianos.
They're old.	Están mayores.
We are even.	Estamos a mano.
We are here.	Estamos aquí.
We're awake.	Estamos despiertos.
We're broke.	Estamos arruinados.
We're broke.	Estamos sin un duro.
We're broke.	Estamos a dos velas.
We're clean.	Estamos limpios.
We're going.	Nos vamos.
We're going.	Vamos a ir.
We're going.	Nosotros vamos a ir.
We're happy.	Somos felices.
We're ready.	Estamos listos.
We're right.	Tenemos razón.
We're sorry.	Lo sentimos.
We're tired.	Estamos cansados.
We're twins.	Somos gemelos.
We're young.	Somos jóvenes.
You are big.	Sos grande.
You are mad.	Estás loca.
You're back.	Estás de vuelta.
You're back.	Estás de regreso.
You're back.	Ya estás aquí.
You're back.	Ya has vuelto.
You're cool.	Sos un langa.
You're cute.	Sos hermosa.
You're fine.	Tú estás bien.
You're fine.	Usted está bien.
You're fine.	Ustedes están bien.
You're free.	Eres libre.
You're good.	Eres bueno.
You're good.	Sois buenos.
You're good.	Eres buena.
You're good.	Usted es buena.
You're here.	Estás aquí.
You're here.	Estáis aquí.
You're late.	Estás retrasado.
You're mean.	Eres mala.
You're mean.	Eres mezquino.
You're mine.	Tú eres mío.
You're nice.	Eres simpático.
You're nuts!	¡Estás loco!
You're nuts!	¡Estás chiflado!
You're rich.	Eres rico.
You're rich.	Sois ricos.
You're safe.	Estás a salvo.
You're sick!	¡Estás enfermo!
You're sick!	¡Estáis enfermos!
You're sick.	Estás enfermo.
You're weak.	Estás débil.
He is French.	Es francés.
He is cranky.	Está enfadado.
He is cranky.	Está de morros.
He is driven.	Él está motivado.
He is eating.	Está comiendo.
He is not in.	No está aquí.
He is not in.	Él no está dentro.
He's a bigot.	Es un fanático.
He's a ninja.	Él es ninja.
